PublicationDate,countryName,reportingYear,Pollutant,Releases
12/15/2025,Slovakia,2007,Ammonia (NH3),997200
12/15/2025,Estonia,2021,Zinc and compounds (as Zn),7563
12/15/2025,Ireland,2013,Arsenic and compounds (as As),61.7
12/15/2025,France,2024,Copper and compounds (as Cu),2338
12/15/2025,Estonia,2011,Chromium and compounds (as Cr),9590
12/15/2025,Sweden,2022,Carbon dioxide (CO2),48594000000
12/15/2025,Bulgaria,2010,Nitrous oxide (N2O),524000
12/15/2025,Slovakia,2022,Ammonia (NH3),1039000
12/15/2025,Poland,2024,Hydrogen cyanide (HCN),17845
12/15/2025,Lithuania,2019,Nitrogen oxides (NOX),4804000
12/15/2025,Poland,2017,Non-methane volatile organic compounds (NMVOC),5822000
12/15/2025,Belgium,2007,Zinc and compounds (as Zn),89010
12/15/2025,Slovenia,2010,Methane (CH4),14661000
12/15/2025,Romania,2023,Cadmium and compounds (as Cd),55
12/15/2025,Belgium,2019,Hydro-fluorocarbons (HFCS),130699
12/15/2025,Czechia,2007,PCDD + PCDF (dioxins + furans) (as Teq),0.05825
12/15/2025,Slovenia,2009,Methane (CH4),19545000
12/15/2025,United Kingdom,2008,Vinyl chloride,44160
12/15/2025,Estonia,2011,Copper and compounds (as Cu),2369
12/15/2025,Bulgaria,2009,Nitrous oxide (N2O),348800
12/15/2025,Poland,2009,Fluorine and inorganic compounds (as HF),929800
12/15/2025,Germany,2016,Polychlorinated biphenyls (PCBs),5.226
12/15/2025,Norway,2011,Phenols (as total C),26599.2
12/15/2025,Italy,2011,Anthracene,505
12/15/2025,Portugal,2017,Hydro-fluorocarbons (HFCS),340
12/15/2025,Germany,2022,Mercury and compounds (as Hg),4017.7
12/15/2025,Estonia,2023,Zinc and compounds (as Zn),4729
12/15/2025,France,2021,"1,2-dichloroethane (DCE-1,2)",208380
12/15/2025,Netherlands,2012,Chlorine and inorganic compounds (as HCl),298200
12/15/2025,Slovenia,2022,Sulphur oxides (SOX),1268191
12/15/2025,Ireland,2014,Mercury and compounds (as Hg),45.7
12/15/2025,Poland,2014,PCDD + PCDF (dioxins + furans) (as Teq),0.195791
12/15/2025,Greece,2013,Cadmium and compounds (as Cd),862.2
12/15/2025,Ireland,2014,Nickel and compounds (as Ni),221
12/15/2025,Austria,2016,"1,2-dichloroethane (DCE-1,2)",3300
12/15/2025,Poland,2014,Vinyl chloride,11300
12/15/2025,Switzerland,2012,Sulphur hexafluoride (SF6),1510
12/15/2025,Serbia,2014,Particulate matter (PM10),10544700
12/15/2025,Czechia,2007,Hydrochlorofluorocarbons (HCFCs),1156
12/15/2025,Poland,2014,Trichloromethane,2690
12/15/2025,Germany,2022,Nickel and compounds (as Ni),3643.9
12/15/2025,Bulgaria,2020,Lead and compounds (as Pb),912
12/15/2025,Hungary,2011,Non-methane volatile organic compounds (NMVOC),7257000
12/15/2025,Iceland,2010,Methane (CH4),8227000
12/15/2025,Greece,2022,Cadmium and compounds (as Cd),248
12/15/2025,Iceland,2009,Methane (CH4),2707000
12/15/2025,Bulgaria,2023,Copper and compounds (as Cu),883
12/15/2025,Slovakia,2012,Ammonia (NH3),896800
12/15/2025,Luxembourg,2024,Non-methane volatile organic compounds (NMVOC),230000
12/15/2025,Cyprus,2008,Nitrous oxide (N2O),26300
12/15/2025,Portugal,2008,Trichloromethane,16000
12/15/2025,Greece,2012,Cadmium and compounds (as Cd),162.3
12/15/2025,Czechia,2015,Copper and compounds (as Cu),1374
12/15/2025,Ireland,2020,Nickel and compounds (as Ni),623.27961
12/15/2025,United Kingdom,2008,"1,2-dichloroethane (DCE-1,2)",224900
12/15/2025,France,2016,Vinyl chloride,239020
12/15/2025,Slovakia,2018,Hydrogen cyanide (HCN),15100
12/15/2025,Finland,2008,Non-methane volatile organic compounds (NMVOC),7395000
12/15/2025,Sweden,2015,Nitrous oxide (N2O),902500
12/15/2025,France,2016,Ethylene oxide,11100
12/15/2025,Cyprus,2016,Ammonia (NH3),1287000
12/15/2025,Cyprus,2017,Nitrogen oxides (NOX),5764000
12/15/2025,Czechia,2010,Hydrogen cyanide (HCN),1258
12/15/2025,Portugal,2014,Fluorine and inorganic compounds (as HF),75560
12/15/2025,Greece,2016,Chlorofluorocarbons (CFCs),79.7
12/15/2025,Czechia,2008,Trichloroethylene (TRI),32000
12/15/2025,Ireland,2012,Non-methane volatile organic compounds (NMVOC),2480000
12/15/2025,Lithuania,2009,Sulphur oxides (SOX),15229000
12/15/2025,Luxembourg,2022,PCDD + PCDF (dioxins + furans) (as Teq),0.00031
12/15/2025,Romania,2010,Carbon dioxide (CO2) excluding biomass,3911700000
12/15/2025,Czechia,2016,Trichloroethylene (TRI),32100
12/15/2025,Estonia,2019,PCDD + PCDF (dioxins + furans) (as Teq),0.000189
12/15/2025,Switzerland,2012,Cadmium and compounds (as Cd),10
12/15/2025,Belgium,2010,Pentachlorobenzene,483
12/15/2025,Poland,2008,Trichloromethane,1340
12/15/2025,Slovakia,2009,Chromium and compounds (as Cr),1146
12/15/2025,Slovakia,2010,Chromium and compounds (as Cr),1256
12/15/2025,Netherlands,2018,Mercury and compounds (as Hg),248.3
12/15/2025,Lithuania,2017,Ammonia (NH3),2966800
12/15/2025,Austria,2022,Carbon dioxide (CO2),31967000000
12/15/2025,Denmark,2016,Mercury and compounds (as Hg),100.3
12/15/2025,Portugal,2013,Nitrogen oxides (NOX),42902000
12/15/2025,Hungary,2011,Tetrachloroethylene,3430
12/15/2025,Lithuania,2013,Benzene,42100
12/15/2025,Lithuania,2017,Tetrachloroethylene,15000
12/15/2025,Austria,2008,"1,2-dichloroethane (DCE-1,2)",3310
12/15/2025,Lithuania,2010,Fluorine and inorganic compounds (as HF),23400
12/15/2025,Greece,2020,Mercury and compounds (as Hg),802.6
12/15/2025,Sweden,2008,Polycyclic aromatic hydrocarbons (PAHs),6661
12/15/2025,Sweden,2008,Trichloroethylene (TRI),13500
12/15/2025,Sweden,2010,Dichloromethane (DCM),1400
12/15/2025,Romania,2022,Mercury and compounds (as Hg),90.3
12/15/2025,Malta,2007,Methane (CH4),4231000
12/15/2025,Portugal,2012,Nitrogen oxides (NOX),45330000
12/15/2025,Slovakia,2013,Ammonia (NH3),769000
12/15/2025,Slovakia,2013,Fluorine and inorganic compounds (as HF),46680
12/15/2025,Switzerland,2010,Polychlorinated biphenyls (PCBs),0.9
12/15/2025,Czechia,2007,Vinyl chloride,1200
12/15/2025,Switzerland,2009,Polychlorinated biphenyls (PCBs),0.7
12/15/2025,Bulgaria,2012,Mercury and compounds (as Hg),32.9
12/15/2025,Estonia,2017,Chlorine and inorganic compounds (as HCl),941000
12/15/2025,Netherlands,2024,Naphthalene,1214
12/15/2025,Poland,2020,Trichloromethane,713
12/15/2025,Romania,2012,Nickel and compounds (as Ni),2195
12/15/2025,Iceland,2022,Sulphur oxides (SOX),11180584
12/15/2025,Romania,2013,Nickel and compounds (as Ni),1200
12/15/2025,Romania,2013,Mercury and compounds (as Hg),147.4
12/15/2025,Germany,2008,Ethylene oxide,1100
12/15/2025,Slovakia,2022,Tetrachloroethylene,5690
12/15/2025,Slovakia,2015,Cadmium and compounds (as Cd),72.8
12/15/2025,Ireland,2020,Mercury and compounds (as Hg),48.81173
12/15/2025,Estonia,2018,Arsenic and compounds (as As),8498.3
12/15/2025,Cyprus,2018,Sulphur oxides (SOX),15936000
12/15/2025,Romania,2015,Nitrous oxide (N2O),2008900
12/15/2025,Cyprus,2018,Nitrous oxide (N2O),36500
12/15/2025,Italy,2007,Vinyl chloride,10430
12/15/2025,France,2010,Trichloromethane,97039
12/15/2025,Sweden,2011,Copper and compounds (as Cu),1477
12/15/2025,Portugal,2017,Chlorine and inorganic compounds (as HCl),258000
12/15/2025,Denmark,2023,Methane (CH4),11920384.95
12/15/2025,Cyprus,2020,Arsenic and compounds (as As),113.9
12/15/2025,Ireland,2018,Methane (CH4),30287399.54
12/15/2025,Greece,2016,Nickel and compounds (as Ni),29096.3
12/15/2025,Slovenia,2021,Arsenic and compounds (as As),27
12/15/2025,Belgium,2007,Copper and compounds (as Cu),3982
12/15/2025,Portugal,2024,Naphthalene,124
12/15/2025,Ireland,2014,Chromium and compounds (as Cr),281
12/15/2025,Sweden,2007,Lead and compounds (as Pb),4323
12/15/2025,Greece,2014,Tetrachloroethylene,23800
12/15/2025,Portugal,2014,Sulphur oxides (SOX),17195000
12/15/2025,Lithuania,2013,Carbon monoxide (CO),6440000
12/15/2025,Switzerland,2013,Zinc and compounds (as Zn),7959
12/15/2025,Portugal,2014,Nitrogen oxides (NOX),36308000
12/15/2025,Luxembourg,2009,Naphthalene,1316
12/15/2025,Lithuania,2014,Benzene,37300
12/15/2025,Malta,2010,Sulphur oxides (SOX),7800000
12/15/2025,Romania,2022,Arsenic and compounds (as As),328
12/15/2025,Cyprus,2023,Copper and compounds (as Cu),113.32
12/15/2025,Bulgaria,2015,Non-methane volatile organic compounds (NMVOC),501000
12/15/2025,Malta,2008,Methane (CH4),5770000
12/15/2025,Switzerland,2014,Non-methane volatile organic compounds (NMVOC),1625000
12/15/2025,Portugal,2012,Hydrochlorofluorocarbons (HCFCs),7.6
12/15/2025,Hungary,2019,Hydrogen cyanide (HCN),1080
12/15/2025,Luxembourg,2020,Carbon monoxide (CO),3890000
12/15/2025,Slovenia,2016,Naphthalene,766
12/15/2025,Greece,2012,Perfluorocarbons (PFCs),4250
12/15/2025,Norway,2013,"1,2-dichloroethane (DCE-1,2)",17600
12/15/2025,Switzerland,2009,Hydro-fluorocarbons (HFCS),998
12/15/2025,Germany,2007,Tetrachloromethane (TCM),363
12/15/2025,Switzerland,2015,Benzene,28030
12/15/2025,Slovenia,2014,Nickel and compounds (as Ni),150
12/15/2025,Austria,2022,Cadmium and compounds (as Cd),206
12/15/2025,Norway,2013,Trichloromethane,802
12/15/2025,Slovenia,2007,Arsenic and compounds (as As),97.9
12/15/2025,Norway,2013,Carbon monoxide (CO),3930000
12/15/2025,Ireland,2018,Chlorofluorocarbons (CFCs),15.51
12/15/2025,Norway,2012,Carbon monoxide (CO),3760000
12/15/2025,Austria,2016,Hydro-fluorocarbons (HFCS),651
12/15/2025,Romania,2014,Carbon dioxide (CO2) excluding biomass,1247900000
12/15/2025,Netherlands,2010,Vinyl chloride,20160
12/15/2025,Germany,2021,Pentachlorophenol (PCP),12.6
12/15/2025,Denmark,2007,Polychlorinated biphenyls (PCBs),0.58
12/15/2025,Cyprus,2013,Zinc and compounds (as Zn),2161
12/15/2025,Belgium,2017,Perfluorocarbons (PFCs),19600
12/15/2025,Romania,2023,Benzene,1200
12/15/2025,Sweden,2007,Sulphur hexafluoride (SF6),3480
12/15/2025,Finland,2010,Chlorine and inorganic compounds (as HCl),1601000
12/15/2025,Portugal,2010,Copper and compounds (as Cu),2541
12/15/2025,Belgium,2016,Arsenic and compounds (as As),226
12/15/2025,Estonia,2024,Chromium and compounds (as Cr),337
12/15/2025,Switzerland,2010,Polycyclic aromatic hydrocarbons (PAHs),240
12/15/2025,Romania,2012,Chromium and compounds (as Cr),922
12/15/2025,Czechia,2013,Benzene,5470
12/15/2025,Netherlands,2007,Trichloroethylene (TRI),9710
12/15/2025,Finland,2009,Lead and compounds (as Pb),2130
12/15/2025,Hungary,2016,Nitrogen oxides (NOX),15122000
12/15/2025,France,2008,Chromium and compounds (as Cr),15790
12/15/2025,France,2008,PCDD + PCDF (dioxins + furans) (as Teq),0.035177
12/15/2025,Belgium,2007,Dichloromethane (DCM),228200
12/15/2025,Romania,2022,Nitrous oxide (N2O),91100
12/15/2025,Spain,2012,Fluorine and inorganic compounds (as HF),1075680
12/15/2025,Sweden,2010,Carbon dioxide (CO2) excluding biomass,21051005000
12/15/2025,Hungary,2013,Zinc and compounds (as Zn),3065
12/15/2025,Italy,2007,Perfluorocarbons (PFCs),253521
12/15/2025,Poland,2018,Ammonia (NH3),8966300
12/15/2025,Portugal,2019,Benzene,19460
12/15/2025,Portugal,2007,Carbon dioxide (CO2),30341000000
12/15/2025,Hungary,2015,Methane (CH4),2157000
12/15/2025,France,2007,Benzene,851640
12/15/2025,Belgium,2011,Ammonia (NH3),5804400
12/15/2025,Italy,2012,Benzene,210390
12/15/2025,Poland,2019,Cadmium and compounds (as Cd),3547.5
12/15/2025,Poland,2021,Nitrogen oxides (NOX),154283000
12/15/2025,Estonia,2014,Sulphur oxides (SOX),36964000
12/15/2025,United Kingdom,2007,Methane (CH4),575141000
12/15/2025,Estonia,2020,Nitrogen oxides (NOX),3918000
12/15/2025,Germany,2013,Sulphur oxides (SOX),253631000
12/15/2025,France,2020,Sulphur hexafluoride (SF6),2039.099998
12/15/2025,Ireland,2020,Nitrous oxide (N2O),286038.4078
12/15/2025,Latvia,2017,Particulate matter (PM10),122100
12/15/2025,Hungary,2013,Benzene,2340
12/15/2025,United Kingdom,2009,Ammonia (NH3),13348400
12/15/2025,Germany,2015,Zinc and compounds (as Zn),63885
12/15/2025,United Kingdom,2014,PCDD + PCDF (dioxins + furans) (as Teq),0.020665
12/15/2025,France,2011,Naphthalene,4900
12/15/2025,France,2019,Perfluorocarbons (PFCs),16330
12/15/2025,France,2020,Lead and compounds (as Pb),10532
12/15/2025,Norway,2012,Methane (CH4),33282000
12/15/2025,Hungary,2016,Sulphur oxides (SOX),8780000
12/15/2025,Italy,2017,Ammonia (NH3),29725600
12/15/2025,France,2014,Trichloromethane,67623
12/15/2025,Finland,2017,Particulate matter (PM10),1517300
12/15/2025,Germany,2022,Sulphur oxides (SOX),142809000
12/15/2025,Sweden,2009,Carbon dioxide (CO2) excluding biomass,14825196000
12/15/2025,United Kingdom,2014,Carbon monoxide (CO),447224000
12/15/2025,Italy,2007,Benzene,364890
12/15/2025,France,2014,PCDD + PCDF (dioxins + furans) (as Teq),0.018597
12/15/2025,Sweden,2017,Ammonia (NH3),3854900
12/15/2025,United Kingdom,2009,Tetrachloromethane (TCM),7653
12/15/2025,Denmark,2022,Nitrogen oxides (NOX),13814813.61
12/15/2025,Romania,2023,PCDD + PCDF (dioxins + furans) (as Teq),0.004196
12/15/2025,Italy,2018,Non-methane volatile organic compounds (NMVOC),27081312.5
12/15/2025,United Kingdom,2016,Benzene,790840
12/15/2025,Italy,2017,Particulate matter (PM10),798000
12/15/2025,Germany,2023,Lead and compounds (as Pb),10938
12/15/2025,Spain,2017,Trichloromethane,10961
12/15/2025,Netherlands,2010,Zinc and compounds (as Zn),49917
12/15/2025,France,2014,Vinyl chloride,212580
12/15/2025,Denmark,2022,Carbon dioxide (CO2),10737640340
12/15/2025,Finland,2012,Nickel and compounds (as Ni),4793.4
12/15/2025,Italy,2016,Nickel and compounds (as Ni),5677.9
12/15/2025,Italy,2014,Arsenic and compounds (as As),283.5
12/15/2025,Romania,2024,Nitrogen oxides (NOX),20321000
12/15/2025,Finland,2019,Nitrous oxide (N2O),13369100
12/15/2025,Netherlands,2010,Benzene,118380
12/15/2025,United Kingdom,2011,Naphthalene,13498
12/15/2025,United Kingdom,2011,Tetrachloromethane (TCM),8448
12/15/2025,Italy,2016,Mercury and compounds (as Hg),636.3
12/15/2025,Finland,2015,Nickel and compounds (as Ni),5567.8
12/15/2025,Finland,2014,Non-methane volatile organic compounds (NMVOC),5519000
12/15/2025,Norway,2011,Polychlorinated biphenyls (PCBs),0.821
12/15/2025,Netherlands,2016,Carbon monoxide (CO),74040000
12/15/2025,Finland,2012,Mercury and compounds (as Hg),393.8
12/15/2025,Slovenia,2007,Nitrous oxide (N2O),84200
12/15/2025,Hungary,2010,Naphthalene,1140
12/15/2025,Croatia,2023,Carbon monoxide (CO),5273000
12/15/2025,Romania,2024,Sulphur oxides (SOX),9307000
12/15/2025,Spain,2009,Particulate matter (PM10),8964600
12/15/2025,Norway,2013,Methane (CH4),33828000
12/15/2025,Netherlands,2015,Mercury and compounds (as Hg),299.1
12/15/2025,Italy,2014,Non-methane volatile organic compounds (NMVOC),31503000
12/15/2025,Germany,2012,Sulphur oxides (SOX),249301000
12/15/2025,Germany,2023,Hydrochlorofluorocarbons (HCFCs),504.27
12/15/2025,Sweden,2018,Cadmium and compounds (as Cd),60.6
12/15/2025,Netherlands,2018,Sulphur oxides (SOX),20583000
12/15/2025,Spain,2011,Chlorine and inorganic compounds (as HCl),2124400
12/15/2025,France,2015,Carbon dioxide (CO2),1.05409E+11
12/15/2025,United Kingdom,2018,Naphthalene,5207
12/15/2025,Germany,2012,Nickel and compounds (as Ni),8177.6
12/15/2025,Denmark,2015,Nitrous oxide (N2O),103100
12/15/2025,Bulgaria,2017,Lead and compounds (as Pb),1273
12/15/2025,Serbia,2017,Ammonia (NH3),4253500
12/15/2025,Greece,2007,Lead and compounds (as Pb),3246
12/15/2025,Bulgaria,2014,Copper and compounds (as Cu),118
12/15/2025,Netherlands,2018,Nitrous oxide (N2O),5671000
12/15/2025,Czechia,2020,Benzene,9019.744
12/15/2025,Czechia,2015,Carbon monoxide (CO),131088000
12/15/2025,Finland,2016,Nickel and compounds (as Ni),4836.9
12/15/2025,France,2015,Nitrogen oxides (NOX),111537000
12/15/2025,Italy,2018,Arsenic and compounds (as As),256.9731
12/15/2025,Denmark,2012,Carbon dioxide (CO2),14118000000
12/15/2025,Bulgaria,2013,Sulphur oxides (SOX),135074000
12/15/2025,United Kingdom,2017,Arsenic and compounds (as As),635
12/15/2025,Luxembourg,2007,Carbon monoxide (CO),12210000
12/15/2025,Czechia,2012,Carbon monoxide (CO),124031000
12/15/2025,Greece,2007,Non-methane volatile organic compounds (NMVOC),5766000
12/15/2025,Switzerland,2014,Nickel and compounds (as Ni),442
12/15/2025,Sweden,2010,Hydro-fluorocarbons (HFCS),9677
12/15/2025,Czechia,2016,Cadmium and compounds (as Cd),365.3
12/15/2025,Czechia,2017,Nitrous oxide (N2O),516300
12/15/2025,United Kingdom,2012,"1,1,2,2-tetrachloroethane (TETRACHLOROETHANE-1,1,2,2)",149
12/15/2025,Malta,2022,Nitrogen oxides (NOX),551000
12/15/2025,Hungary,2017,Particulate matter (PM10),773000
12/15/2025,Czechia,2021,PCDD + PCDF (dioxins + furans) (as Teq),0.005326
12/15/2025,Netherlands,2011,Perfluorocarbons (PFCs),6280
12/15/2025,Luxembourg,2020,Methane (CH4),1486000
12/15/2025,United Kingdom,2011,Di-(2-ethyl hexyl) phthalate (DEHP),160
12/15/2025,Belgium,2014,Chromium and compounds (as Cr),2541
12/15/2025,Switzerland,2020,Nickel and compounds (as Ni),1.34
12/15/2025,Poland,2020,PCDD + PCDF (dioxins + furans) (as Teq),0.120875
12/15/2025,France,2012,Mercury and compounds (as Hg),2147.3
12/15/2025,Czechia,2016,Non-methane volatile organic compounds (NMVOC),3171000
12/15/2025,Greece,2020,Nickel and compounds (as Ni),17028.5
12/15/2025,Switzerland,2022,Non-methane volatile organic compounds (NMVOC),824027
12/15/2025,Netherlands,2023,Fluorine and inorganic compounds (as HF),20330
12/15/2025,Poland,2020,Chromium and compounds (as Cr),7572
12/15/2025,Czechia,2021,Non-methane volatile organic compounds (NMVOC),3860517.8
12/15/2025,Switzerland,2013,Non-methane volatile organic compounds (NMVOC),1957000
12/15/2025,Ireland,2019,Chlorine and inorganic compounds (as HCl),38324.98948
12/15/2025,Hungary,2019,Lindane,11.1
12/15/2025,Poland,2010,Tetrachloroethylene,24300
12/15/2025,Luxembourg,2019,Carbon dioxide (CO2),1417000000
12/15/2025,Finland,2015,Mercury and compounds (as Hg),313.4
12/15/2025,France,2012,Nickel and compounds (as Ni),37586.5
12/15/2025,Ireland,2018,Carbon monoxide (CO),4567247.806
12/15/2025,Norway,2015,Anthracene,2863
12/15/2025,Bulgaria,2012,Sulphur oxides (SOX),252573000
12/15/2025,France,2017,Arsenic and compounds (as As),341.5
12/15/2025,Ireland,2015,Particulate matter (PM10),289000
12/15/2025,Norway,2014,Nitrogen oxides (NOX),62561000
12/15/2025,Romania,2008,Chlorine and inorganic compounds (as HCl),149400
12/15/2025,Portugal,2017,Polycyclic aromatic hydrocarbons (PAHs),1475.6
12/15/2025,Ireland,2024,Chlorofluorocarbons (CFCs),2.24
12/15/2025,Romania,2019,Methane (CH4),39012000
12/15/2025,Spain,2021,Chlorofluorocarbons (CFCs),10.94
12/15/2025,Netherlands,2013,Chlorine and inorganic compounds (as HCl),221900
12/15/2025,Switzerland,2014,Zinc and compounds (as Zn),7850
12/15/2025,Sweden,2017,Polycyclic aromatic hydrocarbons (PAHs),505
12/15/2025,Slovenia,2015,Carbon dioxide (CO2) excluding biomass,1224000000
12/15/2025,Slovakia,2007,Arsenic and compounds (as As),6193.5
12/15/2025,Slovakia,2020,Nickel and compounds (as Ni),486
12/15/2025,Finland,2020,Lead and compounds (as Pb),658
12/15/2025,Bulgaria,2022,Sulphur oxides (SOX),55034212
12/15/2025,France,2008,Trichloromethane,94719
12/15/2025,Czechia,2008,Cadmium and compounds (as Cd),3122.5
12/15/2025,Switzerland,2011,Zinc and compounds (as Zn),11820
12/15/2025,Cyprus,2014,Nitrous oxide (N2O),12900
12/15/2025,Greece,2017,Carbon dioxide (CO2),47274000000
12/15/2025,Norway,2008,Nitrogen oxides (NOX),64050000
12/15/2025,France,2021,Hydrogen cyanide (HCN),120718
12/15/2025,Hungary,2022,Benzene,3530
12/15/2025,United Kingdom,2019,Trichloroethylene (TRI),46100
12/15/2025,Czechia,2008,Particulate matter (PM10),5241900
12/15/2025,Belgium,2011,Fluorine and inorganic compounds (as HF),31340
12/15/2025,Romania,2011,Cadmium and compounds (as Cd),117.2
12/15/2025,France,2021,Chlorine and inorganic compounds (as HCl),427700
12/15/2025,Hungary,2010,Polycyclic aromatic hydrocarbons (PAHs),92
12/15/2025,Denmark,2017,Non-methane volatile organic compounds (NMVOC),8211000
12/15/2025,Italy,2008,Vinyl chloride,10440
12/15/2025,Sweden,2024,Copper and compounds (as Cu),1479.61
12/15/2025,Sweden,2014,Cadmium and compounds (as Cd),88.5
12/15/2025,Finland,2010,Polycyclic aromatic hydrocarbons (PAHs),244
12/15/2025,Belgium,2016,Nitrous oxide (N2O),3726700
12/15/2025,Austria,2021,Nickel and compounds (as Ni),227.5
12/15/2025,Czechia,2013,"1,2-dichloroethane (DCE-1,2)",1080
12/15/2025,France,2015,Halons,1170
12/15/2025,Bulgaria,2018,Polycyclic aromatic hydrocarbons (PAHs),0.56
12/15/2025,Netherlands,2024,Arsenic and compounds (as As),93.6
12/15/2025,Czechia,2018,Perfluorocarbons (PFCs),4555
12/15/2025,Austria,2016,Hydrogen cyanide (HCN),846
12/15/2025,Austria,2021,Mercury and compounds (as Hg),512.7
12/15/2025,Austria,2014,"1,2-dichloroethane (DCE-1,2)",3160
12/15/2025,Netherlands,2022,Chlorine and inorganic compounds (as HCl),198800
12/15/2025,Finland,2021,Hydrogen cyanide (HCN),527
12/15/2025,Poland,2022,Anthracene,3000
12/15/2025,Poland,2009,Tetrachloroethylene,12040
12/15/2025,Lithuania,2013,Methane (CH4),4241000
12/15/2025,Slovenia,2024,Carbon dioxide (CO2),4223345000
12/15/2025,United Kingdom,2010,Tetrachloromethane (TCM),8120
12/15/2025,Germany,2017,Trichloromethane,1403
12/15/2025,Netherlands,2008,Fluorine and inorganic compounds (as HF),461790
12/15/2025,Austria,2008,Carbon monoxide (CO),144793000
12/15/2025,Denmark,2024,Chlorine and inorganic compounds (as HCl),155721.45
12/15/2025,Ireland,2007,Chromium and compounds (as Cr),303
12/15/2025,Estonia,2023,Fine particulate matter (PM2.5),202000
12/15/2025,Iceland,2022,Zinc and compounds (as Zn),358
12/15/2025,Bulgaria,2012,Nitrous oxide (N2O),431800
12/15/2025,Hungary,2008,Nitrogen oxides (NOX),27688000
12/15/2025,Ireland,2007,Copper and compounds (as Cu),205
12/15/2025,Austria,2007,Zinc and compounds (as Zn),18820
12/15/2025,Poland,2013,Anthracene,956
12/15/2025,Czechia,2014,Trichloroethylene (TRI),35000
12/15/2025,Denmark,2020,Chromium and compounds (as Cr),7.069
12/15/2025,Denmark,2020,Arsenic and compounds (as As),2.1241
12/15/2025,Lithuania,2015,Carbon dioxide (CO2),7859000000
12/15/2025,Malta,2012,Sulphur oxides (SOX),7580000
12/15/2025,Malta,2011,Particulate matter (PM10),388000
12/15/2025,Serbia,2024,Copper and compounds (as Cu),531
12/15/2025,Austria,2017,Copper and compounds (as Cu),1119
12/15/2025,Italy,2021,Perfluorocarbons (PFCs),46293
12/15/2025,Luxembourg,2016,PCDD + PCDF (dioxins + furans) (as Teq),0.001229
12/15/2025,Czechia,2012,"1,2-dichloroethane (DCE-1,2)",1470
12/15/2025,Spain,2020,"1,2-dichloroethane (DCE-1,2)",19740
12/15/2025,Italy,2019,"1,1,2,2-tetrachloroethane (TETRACHLOROETHANE-1,1,2,2)",785.65
12/15/2025,Switzerland,2017,Carbon dioxide (CO2),7671000000
12/15/2025,Romania,2009,Carbon dioxide (CO2) excluding biomass,1840000000
12/15/2025,Bulgaria,2007,Methane (CH4),48195000
12/15/2025,Romania,2013,Nitrous oxide (N2O),2491400
12/15/2025,Greece,2008,Perfluorocarbons (PFCs),11000
12/15/2025,Bulgaria,2011,Cadmium and compounds (as Cd),244
12/15/2025,Bulgaria,2015,Zinc and compounds (as Zn),2540
12/15/2025,Croatia,2017,Particulate matter (PM10),601400
12/15/2025,Netherlands,2009,Zinc and compounds (as Zn),38086
12/15/2025,Croatia,2017,Ammonia (NH3),2555300
12/15/2025,Serbia,2020,Particulate matter (PM10),9878600
12/15/2025,Greece,2022,Non-methane volatile organic compounds (NMVOC),5055800
12/15/2025,Latvia,2015,Carbon dioxide (CO2),1838000000
12/15/2025,Iceland,2018,Particulate matter (PM10),520195
12/15/2025,Greece,2018,Carbon monoxide (CO),32405000
12/15/2025,Greece,2018,Copper and compounds (as Cu),4369
12/15/2025,Latvia,2019,Nitrous oxide (N2O),52600
12/15/2025,Austria,2007,Nickel and compounds (as Ni),399
12/15/2025,Croatia,2019,Methane (CH4),309000
12/15/2025,Poland,2011,Tetrachloroethylene,16200
12/15/2025,Ireland,2024,Hydro-fluorocarbons (HFCS),3788.36
12/15/2025,Italy,2018,Tetrachloroethylene,6898
12/15/2025,Greece,2009,Copper and compounds (as Cu),2541
12/15/2025,Sweden,2008,Cadmium and compounds (as Cd),61
12/15/2025,Czechia,2021,Vinyl chloride,9632
12/15/2025,Slovenia,2021,Sulphur oxides (SOX),1899053
12/15/2025,Ireland,2017,Sulphur oxides (SOX),4834000
12/15/2025,Slovenia,2021,Nitrous oxide (N2O),88644
12/15/2025,Slovenia,2018,Particulate matter (PM10),154048
12/15/2025,Spain,2007,Chlorofluorocarbons (CFCs),217
12/15/2025,Portugal,2018,Naphthalene,708
12/15/2025,Austria,2018,Naphthalene,1140
12/15/2025,Romania,2012,Nitrous oxide (N2O),3219300
12/15/2025,Cyprus,2020,Nitrous oxide (N2O),37500
12/15/2025,Romania,2014,Chlorine and inorganic compounds (as HCl),14600
12/15/2025,Hungary,2020,Lead and compounds (as Pb),2010
12/15/2025,Luxembourg,2009,Sulphur oxides (SOX),761000
12/15/2025,Luxembourg,2010,Sulphur oxides (SOX),738000
12/15/2025,Ireland,2024,Carbon dioxide (CO2) excluding biomass,646845475.9
12/15/2025,Lithuania,2008,Carbon monoxide (CO),6235000
12/15/2025,Lithuania,2022,Sulphur oxides (SOX),8788576
12/15/2025,Cyprus,2012,Copper and compounds (as Cu),171
12/15/2025,Norway,2008,Lead and compounds (as Pb),2123
12/15/2025,Malta,2020,Methane (CH4),4824000
12/15/2025,Romania,2014,Nickel and compounds (as Ni),657
12/15/2025,Germany,2013,Sulphur hexafluoride (SF6),765
12/15/2025,Belgium,2007,Trichloroethylene (TRI),33080
12/15/2025,Romania,2016,Particulate matter (PM10),4552000
12/15/2025,Belgium,2007,Chlorine and inorganic compounds (as HCl),2270800
