PublicationDate,countryName,reportingYear,Pollutant,Releases
12/15/2025,France,2012,Carbon monoxide (CO),304368000
12/15/2025,Greece,2023,Nickel and compounds (as Ni),14295.1
12/15/2025,Italy,2014,Copper and compounds (as Cu),1832
12/15/2025,Serbia,2015,Sulphur oxides (SOX),320561000
12/15/2025,United Kingdom,2010,Trichloromethane,19210
12/15/2025,United Kingdom,2011,PCDD + PCDF (dioxins + furans) (as Teq),0.050355
12/15/2025,Denmark,2013,Mercury and compounds (as Hg),139.6
12/15/2025,Slovakia,2017,Mercury and compounds (as Hg),95.9
12/15/2025,Spain,2012,Methane (CH4),174915000
12/15/2025,Czechia,2018,Nitrogen oxides (NOX),60976042.65
12/15/2025,Belgium,2024,Carbon dioxide (CO2),35855000000
12/15/2025,United Kingdom,2011,Carbon dioxide (CO2) excluding biomass,77668790000
12/15/2025,Bulgaria,2017,Particulate matter (PM10),986200
12/15/2025,France,2024,Arsenic and compounds (as As),268.600001
12/15/2025,Germany,2008,Asbestos,2
12/15/2025,Sweden,2023,Fluorine and inorganic compounds (as HF),44408
12/15/2025,Belgium,2023,Nitrogen oxides (NOX),28196000
12/15/2025,Croatia,2019,Nitrous oxide (N2O),246400
12/15/2025,Netherlands,2008,Lead and compounds (as Pb),26536
12/15/2025,United Kingdom,2009,Trichloromethane,19030
12/15/2025,Austria,2018,Hydro-fluorocarbons (HFCS),821
12/15/2025,Croatia,2019,Cadmium and compounds (as Cd),35.7
12/15/2025,Spain,2017,Particulate matter (PM10),6601200
12/15/2025,Slovakia,2011,Chlorine and inorganic compounds (as HCl),26500
12/15/2025,Finland,2012,Nitrous oxide (N2O),1197600
12/15/2025,Hungary,2008,Copper and compounds (as Cu),19457
12/15/2025,Belgium,2013,Nickel and compounds (as Ni),1601.7
12/15/2025,Denmark,2020,Ammonia (NH3),2244604.193
12/15/2025,Netherlands,2007,Copper and compounds (as Cu),1285
12/15/2025,Finland,2014,Cadmium and compounds (as Cd),42.8
12/15/2025,Finland,2023,Carbon dioxide (CO2),37965000000
12/15/2025,Latvia,2019,Methane (CH4),230000
12/15/2025,Greece,2018,Nitrogen oxides (NOX),73026000
12/15/2025,Norway,2009,Carbon dioxide (CO2) excluding biomass,11620474000
12/15/2025,Italy,2017,Hydro-fluorocarbons (HFCS),58582
12/15/2025,Ireland,2008,Chlorofluorocarbons (CFCs),126.07
12/15/2025,Italy,2007,Hydro-fluorocarbons (HFCS),88261
12/15/2025,Cyprus,2008,Mercury and compounds (as Hg),167.5
12/15/2025,Denmark,2015,Methane (CH4),19127000
12/15/2025,France,2011,Trichloromethane,82340
12/15/2025,Germany,2023,Polycyclic aromatic hydrocarbons (PAHs),125
12/15/2025,Luxembourg,2007,Nitrogen oxides (NOX),4349000
12/15/2025,Portugal,2009,Carbon dioxide (CO2),32735000000
12/15/2025,Finland,2022,Polychlorinated biphenyls (PCBs),4.42
12/15/2025,Sweden,2015,Mercury and compounds (as Hg),75.2
12/15/2025,Greece,2011,Arsenic and compounds (as As),870.5
12/15/2025,Austria,2010,Polycyclic aromatic hydrocarbons (PAHs),124
12/15/2025,Luxembourg,2008,Carbon monoxide (CO),7620000
12/15/2025,Greece,2008,Hydro-fluorocarbons (HFCS),243
12/15/2025,Luxembourg,2007,Sulphur oxides (SOX),1084000
12/15/2025,Cyprus,2015,Sulphur oxides (SOX),11964000
12/15/2025,Italy,2008,Fluorine and inorganic compounds (as HF),496740
12/15/2025,Romania,2022,Methane (CH4),22323000
12/15/2025,Ireland,2020,Methane (CH4),27965371.43
12/15/2025,France,2016,Sulphur hexafluoride (SF6),4135
12/15/2025,Germany,2022,Hydrogen cyanide (HCN),9142
12/15/2025,Germany,2013,Hydrogen cyanide (HCN),4230
12/15/2025,Hungary,2019,Non-methane volatile organic compounds (NMVOC),5310300
12/15/2025,Luxembourg,2012,PCDD + PCDF (dioxins + furans) (as Teq),0.000354
12/15/2025,Austria,2020,Methane (CH4),6407000
12/15/2025,Lithuania,2014,Particulate matter (PM10),856600
12/15/2025,Czechia,2019,Carbon monoxide (CO),140687035.2
12/15/2025,Luxembourg,2018,Naphthalene,1001
12/15/2025,Slovenia,2016,Nitrous oxide (N2O),86100
12/15/2025,Malta,2008,Sulphur oxides (SOX),10440000
12/15/2025,Poland,2017,Fluorine and inorganic compounds (as HF),698200
12/15/2025,Portugal,2010,Sulphur oxides (SOX),29883000
12/15/2025,Belgium,2024,Halons,4580
12/15/2025,Luxembourg,2014,Carbon monoxide (CO),6071000
12/15/2025,Finland,2007,Naphthalene,1923
12/15/2025,Finland,2007,Polycyclic aromatic hydrocarbons (PAHs),318
12/15/2025,Hungary,2009,Di-(2-ethyl hexyl) phthalate (DEHP),3220
12/15/2025,Netherlands,2011,Sulphur oxides (SOX),29312000
12/15/2025,Malta,2009,Nickel and compounds (as Ni),5410
12/15/2025,Cyprus,2023,Sulphur oxides (SOX),9116953
12/15/2025,Romania,2007,Chlorine and inorganic compounds (as HCl),157000
12/15/2025,Austria,2008,Hydrochlorofluorocarbons (HCFCs),1217
12/15/2025,Norway,2017,Vinyl chloride,15780
12/15/2025,Hungary,2011,Hydrogen cyanide (HCN),296
12/15/2025,Bulgaria,2014,Non-methane volatile organic compounds (NMVOC),510000
12/15/2025,Poland,2014,Di-(2-ethyl hexyl) phthalate (DEHP),2112
12/15/2025,Poland,2020,Tetrachloromethane (TCM),224
12/15/2025,Bulgaria,2014,Mercury and compounds (as Hg),13.2
12/15/2025,Finland,2011,Non-methane volatile organic compounds (NMVOC),6464000
12/15/2025,Hungary,2011,Chlorine and inorganic compounds (as HCl),24200
12/15/2025,Romania,2017,Cadmium and compounds (as Cd),77
12/15/2025,Slovenia,2008,Perfluorocarbons (PFCs),2810
12/15/2025,Slovenia,2011,Ammonia (NH3),410100
12/15/2025,Lithuania,2020,Particulate matter (PM10),716700
12/15/2025,Poland,2020,Di-(2-ethyl hexyl) phthalate (DEHP),131
12/15/2025,Bulgaria,2008,Mercury and compounds (as Hg),160.1
12/15/2025,Hungary,2015,Nitrous oxide (N2O),170000
12/15/2025,Romania,2020,Lead and compounds (as Pb),4200
12/15/2025,Sweden,2017,Vinyl chloride,18200
12/15/2025,Austria,2009,Polycyclic aromatic hydrocarbons (PAHs),93
12/15/2025,Estonia,2019,Cadmium and compounds (as Cd),201.2
12/15/2025,Cyprus,2012,Cadmium and compounds (as Cd),50
12/15/2025,Hungary,2022,Carbon dioxide (CO2),16291209604
12/15/2025,Portugal,2016,Nickel and compounds (as Ni),4846
12/15/2025,Slovenia,2015,Naphthalene,911
12/15/2025,Cyprus,2011,Zinc and compounds (as Zn),3446
12/15/2025,Portugal,2016,Hydrochlorofluorocarbons (HCFCs),9.96
12/15/2025,Luxembourg,2009,Carbon monoxide (CO),6492000
12/15/2025,Lithuania,2013,Nitrous oxide (N2O),1130000
12/15/2025,Czechia,2011,Polycyclic aromatic hydrocarbons (PAHs),1766.2
12/15/2025,Hungary,2010,Di-(2-ethyl hexyl) phthalate (DEHP),2490
12/15/2025,Slovakia,2014,Naphthalene,29600
12/15/2025,Finland,2018,Cadmium and compounds (as Cd),12
12/15/2025,Lithuania,2019,Carbon dioxide (CO2),6824000000
12/15/2025,Latvia,2023,Carbon monoxide (CO),5006000
12/15/2025,Greece,2021,Perfluorocarbons (PFCs),12000
12/15/2025,Greece,2021,Polycyclic aromatic hydrocarbons (PAHs),321
12/15/2025,Spain,2012,Anthracene,175
12/15/2025,Austria,2018,PCDD + PCDF (dioxins + furans) (as Teq),0.00101
12/15/2025,Netherlands,2008,Vinyl chloride,22290
12/15/2025,Romania,2014,Nitrogen oxides (NOX),54799000
12/15/2025,Denmark,2023,Arsenic and compounds (as As),0.117
12/15/2025,Greece,2021,Naphthalene,428
12/15/2025,Austria,2016,Nitrous oxide (N2O),159200
12/15/2025,Ireland,2010,Chromium and compounds (as Cr),254
12/15/2025,Portugal,2017,Non-methane volatile organic compounds (NMVOC),9062000
12/15/2025,Switzerland,2007,Polychlorinated biphenyls (PCBs),1.5
12/15/2025,Romania,2012,Methane (CH4),75506000
12/15/2025,Romania,2013,Methane (CH4),64545000
12/15/2025,Iceland,2021,Methane (CH4),3749301
12/15/2025,Czechia,2021,Hydrogen cyanide (HCN),360
12/15/2025,Sweden,2010,Perfluorocarbons (PFCs),17000
12/15/2025,Austria,2012,Hydro-fluorocarbons (HFCS),268
12/15/2025,Czechia,2018,Halons,260
12/15/2025,Austria,2012,Dichloromethane (DCM),15800
12/15/2025,Belgium,2023,Halons,2270
12/15/2025,Netherlands,2020,Zinc and compounds (as Zn),125640
12/15/2025,Ireland,2010,Carbon monoxide (CO),900000
12/15/2025,Croatia,2024,Nitrogen oxides (NOX),4372000
12/15/2025,Belgium,2009,Vinyl chloride,17050
12/15/2025,Netherlands,2013,Chromium and compounds (as Cr),764
12/15/2025,Slovenia,2007,Nickel and compounds (as Ni),192
12/15/2025,Portugal,2009,Sulphur oxides (SOX),43142000
12/15/2025,Cyprus,2018,Methane (CH4),2265000
12/15/2025,Sweden,2017,Lead and compounds (as Pb),3500
12/15/2025,Cyprus,2014,Mercury and compounds (as Hg),89.3
12/15/2025,Austria,2018,Chromium and compounds (as Cr),397
12/15/2025,Cyprus,2018,Nickel and compounds (as Ni),5645.1
12/15/2025,Sweden,2018,"1,2-dichloroethane (DCE-1,2)",11810
12/15/2025,United Kingdom,2018,Ethylene oxide,1960
12/15/2025,Malta,2014,Nitrogen oxides (NOX),2798000
12/15/2025,Luxembourg,2017,Carbon monoxide (CO),6740000
12/15/2025,France,2013,Arsenic and compounds (as As),1441.4
12/15/2025,Belgium,2015,Nitrous oxide (N2O),3972800
12/15/2025,Denmark,2014,Methane (CH4),20107000
12/15/2025,Poland,2012,Nitrogen oxides (NOX),292825000
12/15/2025,Sweden,2021,PCDD + PCDF (dioxins + furans) (as Teq),0.002191
